property_id,time_id,location_id,type_id,trans_id,area,price_million,price_per_m2,bedrooms_num,bathrooms_num
40889611,20230909,16,1,2,70.0,32.0,0.457,2,2
41549907,20251114,10,1,2,80.0,21.0,0.263,2,2
41735438,20240827,6,1,2,40.0,8.0,0.2,0,10
42143808,20240225,19,1,2,85.0,33.0,0.388,3,4
41824552,20240705,11,1,2,120.0,13.0,0.108,1,1
42141631,20240205,29,1,2,196.0,40.0,0.204,0,0
41327552,20240312,38,1,2,81.0,5.5,0.068,0,0
40956867,20240131,24,1,2,220.0,140.0,0.636,7,5
42143582,20230401,25,1,2,45.0,8.5,0.189,1,0
42143573,20240322,16,1,2,120.0,110.0,0.917,0,0
42143569,20240510,39,1,2,50.0,9.0,0.18,1,0
36681402,20251212,4,1,2,60.0,7.5,0.125,0,0
42143530,20241101,20,1,2,91.0,11.5,0.126,2,2
42143517,20250404,2,1,2,100.0,25.0,0.25,0,1
38799511,20251230,12,1,2,98.0,10.0,0.102,3,2
42122908,20231013,2,1,2,60.0,14.4,0.24,0,0
42143342,20241231,27,1,2,140.0,9.0,0.064,0,1
42133994,20240303,3,1,2,100.0,13.0,0.13,0,0
42011787,20240208,36,1,2,30.0,7.0,0.233,1,1
41734512,20230626,20,1,2,200.0,24.0,0.12,0,0
41840314,20230919,15,1,2,25.0,3.5,0.14,1,0
42143021,20230322,13,1,2,32.0,5.5,0.172,1,1
40183077,20240609,40,1,2,65.0,4.5,0.069,2,2
41292883,20240523,41,1,2,2450.0,60.0,0.024,0,0
42142846,20250912,10,1,2,40.0,7.0,0.175,1,1
36992110,20240115,11,1,2,70.0,11.0,0.157,2,2
23980291,20250527,25,1,2,28.0,4.8,0.171,1,1
41160917,20230224,12,1,2,126.0,40.0,0.317,0,0
41459618,20231123,25,1,2,45.0,6.5,0.144,1,1
37041041,20251128,29,1,2,57.0,6.5,0.114,2,1
42142736,20251224,27,1,2,90.0,13.0,0.144,3,3
41583084,20230711,10,1,2,45.0,5.9,0.131,1,1
42142690,20250709,1,1,2,20.0,5.0,0.25,1,1
42101814,20240830,42,1,2,4000.0,150.0,0.037,0,0
38749343,20231002,1,1,2,216.0,60.0,0.278,0,0
42142397,20231214,37,1,2,200.0,70.0,0.35,0,0
35785407,20251122,5,1,2,120.0,15.0,0.125,0,0
42142384,20230408,13,1,2,74.0,15.0,0.203,2,2
40996174,20240217,15,1,2,82.0,23.0,0.28,2,0
41989955,20250622,32,1,2,65.0,11.0,0.169,2,2
40031363,20241223,40,1,2,65.0,5.0,0.077,2,2
36526605,20250710,16,1,2,25.0,3.8,0.152,0,0
42142120,20230626,15,1,2,50.0,6.0,0.12,2,1
40615489,20230719,18,1,2,228.67,250.0,1.093,5,5
41965181,20230917,43,1,2,70.0,12.0,0.171,2,2
42142018,20240322,32,1,2,96.0,14.0,0.146,2,2
42141881,20240402,16,1,2,70.0,33.0,0.471,2,2
42141880,20230309,7,1,2,110.0,90.0,0.818,0,0
42141807,20240929,4,1,2,150.0,60.0,0.4,4,5
39426889,20241017,26,1,2,76.0,11.0,0.145,2,2
42141175,20250817,44,1,2,100.05,16.0,0.16,4,5
42066584,20230717,10,1,2,60.0,9.0,0.15,0,0
40982676,20230519,10,1,2,85.0,18.0,0.212,0,0
41924160,20250920,22,1,2,200.0,36.0,0.18,0,0
42010509,20240813,22,1,2,200.0,30.0,0.15,0,0
40380717,20230620,45,1,2,80.0,5.8,0.072,5,4
42141455,20250323,17,1,2,80.0,10.0,0.125,2,2
42141539,20250602,13,1,2,30.0,7.5,0.25,0,1
42141538,20230515,16,1,2,50.0,16.0,0.32,1,1
40815782,20240418,19,1,2,85.0,25.0,0.294,4,4
42141527,20240520,9,1,2,270.0,30.0,0.111,4,4
42141451,20230830,16,1,2,76.0,16.0,0.211,2,2
42141424,20240828,40,1,2,15.0,1.5,0.1,0,0
40176858,20250426,7,1,2,25.0,5.0,0.2,1,1
42141355,20250213,9,1,2,625.0,60.0,0.096,5,5
40213426,20250518,40,1,2,41.0,3.5,0.085,1,1
42141171,20240201,16,1,2,100.0,23.0,0.23,0,0
36990983,20240909,16,1,2,72.0,18.0,0.25,2,0
40791243,20240330,16,1,2,30.0,6.5,0.217,0,0
42140812,20250712,26,1,2,91.0,9.0,0.099,2,2
38318494,20230611,1,1,2,240.0,70.0,0.292,0,0
42140974,20231122,25,1,2,130.0,18.0,0.138,3,2
40982858,20240524,12,1,2,53.0,7.5,0.142,1,1
42140925,20230417,2,1,2,70.0,15.0,0.214,2,2
39245010,20240303,12,1,2,70.0,11.0,0.157,2,2
36195542,20250718,12,1,2,68.0,9.0,0.132,2,2
42135333,20250420,1,1,2,52.0,30.0,0.577,0,0
41515027,20230418,17,1,2,75.0,8.0,0.107,2,2
21835233,20240213,37,1,2,135.0,52.65,0.39,0,0
42140862,20251105,43,1,2,53.0,7.0,0.132,0,0
41061243,20241208,12,1,2,88.0,22.0,0.25,0,0
42022379,20230225,17,1,2,36.0,6.5,0.181,1,1
42122561,20240204,34,1,2,75.0,12.0,0.16,2,2
41625687,20251219,22,1,2,200.0,60.0,0.3,0,6
41802207,20251031,7,1,2,60.0,18.0,0.3,2,0
42140533,20240901,10,1,2,50.0,10.5,0.21,2,1
42140520,20251211,27,1,2,50.0,6.0,0.12,0,0
42140471,20250225,16,1,2,228.0,200.0,0.877,7,5
42140266,20230109,46,1,2,400.0,80.0,0.2,6,6
42140388,20250915,10,1,2,62.0,12.0,0.194,2,2
42140319,20230928,1,1,2,30.0,12.8,0.427,0,0
42140308,20250824,7,1,2,50.0,15.0,0.3,2,1
42140208,20231113,12,1,2,200.0,50.0,0.25,8,6
42140161,20230516,25,1,2,88.0,14.5,0.165,3,2
42140160,20240917,11,1,2,76.0,20.0,0.263,0,1
42140148,20230509,12,1,2,70.0,14.0,0.2,2,2
42140132,20240811,11,1,2,35.0,7.5,0.214,1,1
42140026,20230214,34,1,2,99.0,13.0,0.131,2,2
42139944,20230719,16,1,2,700.0,120.0,0.171,0,0
42139940,20250617,16,1,2,85.0,22.0,0.259,0,0
42139317,20250221,47,1,2,32.0,4.0,0.125,1,1
42139881,20231127,40,1,2,42.0,5.0,0.119,1,1
41920880,20230601,8,1,2,50.0,25.0,0.5,0,0
42139789,20250506,17,1,2,80.0,9.5,0.119,2,2
42139783,20241002,25,1,2,56.0,11.0,0.196,3,3
42139788,20241225,24,1,2,190.0,65.0,0.342,0,0
42139782,20240406,48,1,2,80.0,30.0,0.375,4,4
40826414,20230903,4,1,2,28.0,8.0,0.286,1,1
42139593,20250421,49,1,2,130.0,8.5,0.065,3,2
37511849,20231106,7,1,2,35.0,4.9,0.14,0,0
41973010,20251110,16,1,2,120.0,28.0,0.233,3,2
42137955,20231029,46,1,2,215.0,10.0,0.047,0,1
42139542,20250906,16,1,2,167.0,64.0,0.383,3,3
42139566,20250726,16,1,2,146.0,35.0,0.24,3,2
42139534,20251006,7,1,2,150.0,26.0,0.173,0,1
42084847,20250424,12,1,2,71.0,10.0,0.141,2,1
42139521,20250501,12,1,2,36.0,9.0,0.25,2,1
41690775,20251113,24,1,2,100.0,9.0,0.09,0,0
42139451,20240402,4,1,2,157.0,65.0,0.414,4,2
42139454,20230827,38,1,2,40.0,4.5,0.113,1,1
33445777,20230318,36,1,2,80.0,19.0,0.237,2,2
42139436,20240807,18,1,2,35.0,7.0,0.2,1,1
42139414,20241123,18,1,2,25.0,7.0,0.28,1,1
42139340,20250201,38,1,2,15.0,3.5,0.233,1,1
38060971,20230328,4,1,2,100.0,10.0,0.1,0,0
40240561,20231213,50,1,2,1728.0,120.96,0.07,0,0
42139216,20230214,16,1,2,114.0,100.0,0.877,6,5
41998597,20250415,34,1,2,30.0,2.6,0.087,0,0
35523588,20241023,32,1,2,65.0,11.0,0.169,2,2
42138592,20230414,6,1,2,450.0,60.0,0.133,0,0
42131401,20250910,51,1,2,120.0,12.0,0.1,3,3
41836632,20240908,1,1,2,72.0,18.0,0.25,2,2
42138462,20230714,24,1,2,80.0,15.0,0.188,0,1
41966131,20251006,16,1,2,94.0,30.0,0.319,2,2
42138817,20230324,10,1,2,40.0,6.5,0.163,1,1
42138643,20250505,25,1,2,400.0,230.0,0.575,0,0
42138054,20240528,31,1,2,60.0,9.0,0.15,2,0
42138578,20231008,40,1,2,180.0,12.0,0.067,0,0
41848948,20240605,7,1,2,35.0,8.0,0.229,1,1
42032858,20240116,10,1,2,80.0,39.0,0.487,2,2
42106979,20250405,16,1,2,98.0,18.0,0.184,3,2
42138308,20230105,20,1,2,104.0,12.0,0.115,3,2
42006577,20240808,6,1,2,60.0,30.0,0.5,4,3
42042670,20230921,10,1,2,30.0,7.0,0.233,1,1
42138247,20240112,4,1,2,200.0,40.0,0.2,0,0
42138236,20250614,7,1,2,200.0,40.0,0.2,0,0
42138198,20240808,16,1,2,58.0,16.0,0.276,1,1
42138141,20230205,12,1,2,100.0,22.0,0.22,3,2
41981635,20230708,30,1,2,69.0,7.8,0.113,2,2
40502115,20230706,4,1,2,25.0,6.0,0.24,1,1
41585988,20250227,4,1,2,35.0,7.5,0.214,1,1
37623458,20250519,14,1,2,70.0,14.0,0.2,2,2
40793555,20250128,4,1,2,70.0,14.0,0.2,2,2
42018824,20250212,17,1,2,68.0,13.9,0.204,3,2
39124972,20241024,34,1,2,80.0,15.0,0.188,2,0
42137617,20240423,32,1,2,65.0,10.5,0.162,2,0
42090170,20250120,51,1,2,80.0,12.0,0.15,2,2
41777642,20240114,25,1,2,40.0,5.9,0.148,1,1
42137544,20250521,34,1,2,70.0,65.0,0.929,7,7
41270436,20250302,11,1,2,75.0,12.0,0.16,2,2
41606664,20250808,38,1,2,78.0,13.0,0.167,2,2
42130610,20250610,11,1,2,70.0,11.0,0.157,2,2
42137512,20231024,9,1,2,30.0,3.5,0.117,1,1
42134307,20250402,15,1,2,140.0,25.0,0.179,3,3
30885041,20230312,11,1,2,75.0,12.0,0.16,2,2
39338583,20240605,38,1,2,80.0,15.0,0.188,2,2
42105885,20230711,24,1,2,630.0,55.0,0.087,8,8
42106035,20240227,16,1,2,700.0,100.0,0.143,6,7
40100004,20250526,4,1,2,64.0,9.0,0.141,2,2
39954597,20241109,16,1,2,58.0,14.0,0.241,1,1
42117257,20230901,20,1,2,50.0,5.0,0.1,1,1
41770565,20230313,25,1,2,40.0,5.0,0.125,1,1
41545034,20230415,16,1,2,107.0,22.9,0.214,3,3
42105809,20240404,5,1,2,87.0,22.0,0.253,4,6
42136874,20250709,36,1,2,30.0,7.5,0.25,1,1
42000339,20231023,1,1,2,144.5,64.0,0.443,2,2
41710978,20250313,1,1,2,250.0,160.0,0.64,0,2
38497636,20230502,24,1,2,100.0,27.0,0.27,4,5
30813205,20230320,7,1,2,100.0,20.0,0.2,0,0
23443328,20241022,37,1,2,100.0,18.0,0.18,0,0
41375827,20250411,36,1,2,160.0,32.0,0.2,0,0
9046720,20250703,6,1,2,200.0,36.0,0.18,0,0
42136632,20240513,10,1,2,48.0,21.0,0.438,4,4
36069623,20240115,7,1,2,120.0,26.0,0.217,0,0
42136622,20241106,1,1,2,500.0,89.0,0.178,0,0
42136501,20241017,1,1,2,30.0,16.8,0.56,2,3
39677268,20230221,9,1,2,33.0,2.0,0.061,0,0
42136451,20231208,1,1,2,110.0,68.6,0.624,3,3
42136340,20250301,7,1,2,90.0,16.0,0.178,0,0
39592498,20240507,26,1,2,80.0,10.0,0.125,0,1
42136276,20250516,16,1,2,52.0,6.5,0.125,2,2
42136207,20230515,4,1,2,800.0,55.0,0.069,0,0
42134563,20230408,35,1,2,30.0,16.0,0.533,4,3
42136141,20230921,12,1,2,120.0,35.0,0.292,3,3
42135820,20250920,18,1,2,80.0,25.0,0.312,0,1
38344505,20251230,38,1,2,76.0,12.0,0.158,2,2
41611943,20230512,16,1,2,60.0,8.0,0.133,2,1
41866662,20240615,10,1,2,20.0,4.5,0.225,0,0
42135462,20241120,24,1,2,27.0,5.5,0.204,0,0
40856654,20230820,12,1,2,71.0,11.0,0.155,2,1
41197270,20230921,17,1,2,30.0,4.4,0.147,1,1
41028023,20251026,51,1,2,77.5,9.0,0.116,0,0
42113227,20240303,52,1,2,125.0,8.0,0.064,0,2
42134898,20241213,29,1,2,139.0,5.9,0.042,2,1
42134426,20250514,6,1,2,40.0,8.9,0.223,1,1
42124300,20241014,11,1,2,71.0,19.5,0.275,2,2
41035463,20250207,21,1,2,84.0,15.9,0.189,1,2
42134801,20240212,2,1,2,25.0,5.5,0.22,1,1
42134756,20231205,1,1,2,70.0,90.0,1.286,0,1
41708129,20250514,15,1,2,46.0,18.0,0.391,1,1
40594810,20241223,10,1,2,80.0,15.5,0.194,2,0
42134650,20251121,53,1,2,60.0,7.5,0.125,0,0
42134499,20230429,2,1,2,72.0,14.0,0.194,2,2
41074615,20231128,54,1,2,37000.0,3700.0,0.1,0,0
42133155,20240524,55,1,2,430.0,25.0,0.058,0,1
36298484,20240102,11,1,2,61.0,7.5,0.123,2,1
42134331,20240208,26,1,2,20.0,3.5,0.175,1,1
41773086,20240507,36,1,2,15.0,8.5,0.567,0,1
42134297,20250810,12,1,2,67.0,12.0,0.179,2,2
7847391,20240513,14,1,2,50.0,12.0,0.24,0,0
42123840,20231229,31,1,2,96.0,40.0,0.417,6,5
8591603,20230730,21,1,2,50.0,11.95,0.239,0,0
8591955,20230618,12,1,2,50.0,11.5,0.23,0,0
7849435,20230414,13,1,2,1000.0,230.0,0.23,0,0
41059539,20231031,24,1,2,100.0,9.0,0.09,0,0
40980222,20230520,22,1,2,100.0,16.0,0.16,0,2
16955792,20230621,16,1,2,500.0,115.0,0.23,0,0
37334939,20250413,35,1,2,70.0,10.0,0.143,2,1
42134088,20240930,1,1,2,124.0,93000.0,750.0,0,0
42134085,20241108,17,1,2,75.0,10.0,0.133,0,1
42133760,20230830,25,1,2,106.0,28.0,0.264,3,2
42133743,20230722,16,1,2,22.0,4.0,0.182,0,0
42133737,20230716,12,1,2,60.0,13.0,0.217,2,1
42133723,20250615,27,1,2,60.0,5.5,0.092,2,1
42133666,20250408,16,1,2,26.0,4.1,0.158,0,0
42133528,20230426,1,1,2,33.0,7.0,0.212,1,1
42133589,20230527,10,1,2,50.0,17.0,0.34,1,1
42133543,20240730,16,1,2,105.0,30.0,0.286,2,2
42005134,20250126,56,1,2,65.6,15.0,0.229,2,2
41238163,20241211,12,1,2,40.0,12.0,0.3,1,1
42133468,20241123,57,1,2,90.0,59.0,0.656,4,5
41213812,20251217,12,1,2,110.0,24.0,0.218,3,2
40941574,20241020,6,1,2,100.0,25.0,0.25,0,0
41213624,20250109,12,1,2,76.0,19.0,0.25,2,2
42133241,20230724,16,1,2,15.0,3.4,0.227,1,1
28301876,20240326,11,1,2,71.0,10.0,0.141,2,2
42040833,20230110,20,1,2,114.0,22.0,0.193,0,0
41375115,20251022,18,1,2,221.0,230.0,1.041,0,0
40055094,20240115,58,1,2,1600.0,64.0,0.04,0,0
42131969,20240301,24,1,2,25.0,4.5,0.18,1,1
42003131,20230924,1,1,2,216.0,500.0,2.315,0,0
41059468,20230223,24,1,2,85.0,28.0,0.329,0,0
42132893,20250821,4,1,2,93.0,52.0,0.559,4,7
41908074,20241011,18,1,2,500.0,500.0,1.0,0,0
41755803,20230727,7,1,2,50.0,14.7,0.294,0,1
42132693,20231228,1,1,2,51.0,28.0,0.549,0,0
42132650,20241117,9,1,2,72.0,9.0,0.125,2,2
39311692,20230831,4,1,2,35.0,5.2,0.149,0,0
41177323,20240522,4,1,2,40.0,5.2,0.13,0,0
41500997,20240319,2,1,2,150.0,55.0,0.367,7,7
42132575,20230623,37,1,2,214.0,55.0,0.257,3,3
42132457,20240531,7,1,2,80.0,85.0,1.062,8,16
42132532,20241110,16,1,2,72.0,23.0,0.319,2,2
42132136,20230827,12,1,2,35.0,7.0,0.2,1,1
42132412,20231129,7,1,2,25.0,4.5,0.18,0,0
41358933,20230331,38,1,2,97.82,10.0,0.102,4,2
41834890,20231214,6,1,2,148.0,33.0,0.223,3,3
42046186,20240205,30,1,2,74.0,8.0,0.108,2,2
42118789,20230331,10,1,2,80.0,45.0,0.562,0,0
42132137,20251015,7,1,2,70.0,50.0,0.714,0,0
42105675,20250108,20,1,2,120.0,18.0,0.15,0,0
41753964,20230702,6,1,2,42.0,11.0,0.262,0,12
42132117,20240903,16,1,2,40.0,8.0,0.2,0,0
42132062,20250830,21,1,2,85.0,21.0,0.247,2,2
41651371,20240109,2,1,2,120.0,30.6,0.255,0,2
42035632,20251106,59,1,2,1300.0,10.0,0.008,0,0
40903754,20240130,3,1,2,69.0,7.0,0.101,2,2
42131928,20250508,16,1,2,52.0,28.0,0.538,1,1
42131868,20240103,18,1,2,42.0,28.0,0.667,0,0
42131853,20251227,10,1,2,49.5,19.5,0.394,4,4
41651848,20230717,8,1,2,56.0,17.0,0.304,0,3
42131641,20240407,10,1,2,165.0,50.0,0.303,0,0
42131523,20251031,7,1,2,22.0,4.8,0.218,1,1
42131542,20250209,10,1,2,77.0,15.0,0.195,2,2
42131227,20250713,16,1,2,25.0,6.0,0.24,1,1
36099320,20230414,21,1,2,126.0,17.5,0.139,3,2
36262103,20230507,21,1,2,90.0,12.5,0.139,2,2
41997709,20241120,3,1,2,64.0,7.5,0.117,1,1
42131445,20250623,26,1,2,160.0,18.0,0.113,0,2
42131433,20251118,1,1,2,90.0,120.0,1.333,0,0
42113010,20240608,7,1,2,50.0,42.0,0.84,0,2
42131374,20240305,13,1,2,40.0,8.5,0.212,2,1
39343118,20240105,10,1,2,40.0,7.8,0.195,1,1
